;number;gas_used;block_fee;block_reward;percent
34;8919074;0;0.0;2.0;0.0
35;8919075;5944000;0.013356551999999968;2.013356552;0.6633972500664139
36;8919076;4171628;0.008499623999999985;2.008499624;0.4231827528587072
37;8919077;9909461;0.013963667999999966;2.013963668;0.6933425970820425
38;8919078;9905254;0.01578501599999996;2.015785016;0.7830704105204024
39;8919079;9934321;0.011434017999999975;2.011434018;0.5684510601729306
40;8919080;9930286;0.025195313999999927;2.025195314;1.2440930425735681
41;8919081;9923253;0.026105987999999924;2.026105988;1.2884808669742664
42;8919082;9916277;0.023677523999999932;2.023677524;1.1700245577269124
43;8919083;9911266;0.01639213199999996;2.016392132;0.8129436601074754
44;8919084;9901073;0.01274943599999997;2.012749436;0.633433837911654
45;8919085;4618628;0.01285062199999997;2.0128506219999998;0.638428995154712
46;8919086;9891061;0.020136013999999945;2.0201360139999998;0.9967652603811235
47;8919087;9888365;0.013862481999999966;2.013862482;0.6883529597429566
48;8919088;9891890;0.020034827999999946;2.020034828;0.9918060680090386
49;8919089;9899117;0.009207925999999983;2.009207926;0.45828636652511306
50;8919090;9903218;0.019326525999999948;2.019326526;0.9570778054544284
51;8919091;2556812;0.006273531999999993;2.006273532;0.3126957466136773
52;8919092;1666344;0.002732022000000001;2.002732022;0.13641475594281985
53;8919093;9883390;0.02135024599999994;2.021350246;1.056236841796686
54;8919094;9784468;0.01851703799999995;2.018517038;0.9173585187245741
55;8919095;9898056;0.017100433999999956;2.017100434;0.8477730564010159
56;8919096;1117590;0.0020237200000000006;2.00202372;0.10108371742968163
57;8919097;9885076;0.012041133999999972;2.012041134;0.5984536695858611
58;8919098;9893244;0.011231645999999975;2.011231646;0.5584461651813117
59;8919099;9877646;0.014975527999999962;2.014975528;0.743211408372001
60;8919100;9894563;0.02438582599999993;2.024385826;1.2046036722250755
61;8919101;9897756;0.01598738799999996;2.015987388;0.7930301595716113
62;8919102;9912583;0.012243505999999972;2.012243506;0.6084505162269349
63;8919103;9909607;0.012142319999999972;2.01214232;0.6034523442655871
64;8919104;9912040;0.023373965999999934;2.023373966;1.155197526150237
65;8919105;9931445;0.024992941999999928;2.024992942;1.2342236598274487
66;8919106;9929734;0.02428463999999993;2.02428464;1.1996652802740198
67;8919107;9851965;0.02155261799999994;2.021552618;1.0661418262425826
68;8919108;0;0.0;2.0;0.0
69;8919109;9923518;0.006981833999999991;2.006981834;0.34787728925701833
70;8919110;9923235;0.013862481999999966;2.013862482;0.6883529597429566
71;8919111;9843391;0.006577089999999992;2.00657709;0.3277765919274994
72;8919112;9908379;0.018112293999999952;2.018112294;0.8974869264633673
73;8919113;9348336;0.004553369999999999;2.00455337;0.22715134793343017
74;8919114;9417551;0.004654555999999999;2.004654556;0.23218743528997313
75;8919115;9658877;0.01629094599999996;2.016290946;0.8079660344812143
76;8919116;9961260;0.023070407999999935;2.023070408;1.140366045035835
77;8919117;2007603;0.005767601999999995;2.005767602;0.28755086054082124
78;8919118;9952837;0.020136013999999945;2.0201360139999998;0.9967652603811235
79;8919119;9968132;0.004856927999999998;2.004856928;0.24225808496196083
80;8919120;9969728;0.006981833999999991;2.006981834;0.34787728925701833
81;8919121;9955318;0.014975527999999962;2.014975528;0.743211408372001
82;8919122;856827;0.002428464000000001;2.002428464;0.12127594286933793
83;8919123;9949136;0.024891755999999928;2.0248917559999997;1.2292882286790214
84;8919124;9954731;0.008196065999999986;2.008196066;0.4081307666499525
85;8919125;9945966;0.019326525999999948;2.019326526;0.9570778054544284
86;8919126;9942500;0.006577089999999992;2.00657709;0.3277765919274994
87;8919127;9950493;0.02458819799999993;2.024588198;1.2144789752449168
88;8919128;2700246;0.007487763999999989;2.007487764;0.3729917628529062
89;8919129;9954000;0.010624529999999978;2.01062453;0.5284193961365815
90;8919130;9956853;0.01861822399999995;2.018618224;0.9223251716764423
91;8919131;9064367;0.02175498999999994;2.02175499;1.0760448277661945
92;8919132;9934068;0.006374717999999993;2.006374718;0.3177232020923019
93;8919133;9926223;0.004654555999999999;2.004654556;0.23218743528997313
